title,url,date_published,snippet,body
"US, Japan and S. Korea lambaste North's missile tests - Reuters",https://www.reuters.com/video/watch/idOV337708062022RP1,2022-06-08T06:45:44Z,"North Korea's recent missile tests were ""provocative and destabilising"", U.S. Deputy Secretary of State Wendy Sherman said on Wednesday, urging Pyongyang to return to dialogue during a news conference with her South Korean and Japanese counterparts in Seoul.","Posted 
North Korea's recent missile tests were ""provocative and destabilising"", U.S. Deputy Secretary of State Wendy Sherman said on Wednesday, urging Pyongyang to return to dialogue during a news … [+67 chars]"
North Korea reports 18820 more fever cases amid covid-19 outbreak - KCNA - Reuters.com,https://www.reuters.com/world/asia-pacific/north-korea-reports-18820-more-fever-cases-amid-covid-19-outbreak-kcna-2022-06-19/,2022-06-19T21:31:00Z,"North Korea has recorded another 18,820 new fever cases amid its first official COVID-19 outbreak, state news agency KCNA said on Monday, as daily reported infections continued to drop and no new deaths were reported.","SEOUL, June 20 (Reuters) - North Korea has recorded another 18,820 new fever cases amid its first official COVID-19 outbreak, state news agency KCNA said on Monday, as daily reported infections conti… [+427 chars]"
"Amid criticism, North Korea takes over as U.N. disarmament president - Reuters",https://www.reuters.com/world/amid-criticism-north-korea-takes-over-un-disarmament-president-2022-06-02/,2022-06-02T14:21:00Z,"North Korea, which is under sanctions for developing nuclear weapons in defiance of United Nations Security Council Resolutions, has taken over as head of a U.N. body aimed at striking disarmament deals amid scorn from critics.","GENEVA, June 2 (Reuters) - North Korea, which is under sanctions for developing nuclear weapons in defiance of United Nations Security Council Resolutions, has taken over as head of a U.N. body aimed… [+2266 chars]"
Blinken says U.S. will keep pressure on North Korea until it changes course - Reuters.com,https://www.reuters.com/world/blinken-says-us-will-keep-pressure-north-korea-until-it-changes-course-2022-06-13/,2022-06-13T18:27:00Z,"U.S. Secretary of State Antony Blinken on Monday said the United States will continue to keep pressure on North Korea until it changes course, after Washington this month warned that Pyongyang is preparing to conduct a seventh nuclear test.","WASHINGTON, June 13 (Reuters) - U.S. Secretary of State Antony Blinken on Monday said the United States will continue to keep pressure on North Korea until it changes course, after Washington this mo… [+648 chars]"
U.S. watching 'very closely' for possibility of North Korea nuclear test - Reuters,https://www.reuters.com/world/us-watching-very-closely-possibility-north-korea-nuclear-test-2022-06-08/,2022-06-08T18:38:00Z,"The United States is watching ""very closely"" the continued possibility of a nuclear test by North Korea and will have a robust response, U.S. national security adviser Jake Sullivan said.","ABOARD AIR FORCE ONE, June 8 (Reuters) - The United States is watching ""very closely"" the continued possibility of a nuclear test by North Korea and will have a robust response, U.S. national securit… [+347 chars]"
Chinese province neighbouring North Korea reports border area COVID cases - Reuters,https://www.reuters.com/world/china/chinese-province-neighbouring-north-korea-reports-border-area-covid-cases-2022-05-27/,2022-05-27T09:41:00Z,"Border areas in China's northeastern province of Jilin, which shares a long frontier with coronavirus-hit North Korea, has reported domestically transmitted COVID-19 infections of unknown origin, a Chinese health official said on Friday.","BEIJING, May 27 (Reuters) - Border areas in China's northeastern province of Jilin, which shares a long frontier with coronavirus-hit North Korea, has reported domestically transmitted COVID-19 infec… [+1435 chars]"
Pressure mounts on South Korea to reopen case of deported North Korean fishermen - Reuters.com,https://www.reuters.com/world/asia-pacific/pressure-mounts-skorea-reopen-case-deported-nkorean-fishermen-2022-06-24/,2022-06-24T08:00:00Z,"South Korea's ruling party members and rights activists are calling on the government to reopen a 2019 case of the repatriation of two North Korea fishermen, blaming the previous government of trying to curry favour with Pyongyang.","SEOUL, June 24 (Reuters) - South Korea's ruling party members and rights activists are calling on the government to reopen a 2019 case of the repatriation of two North Korea fishermen, blaming the pr… [+2586 chars]"
North Korea denounces U.S. 'aggression' as it marks war anniversary - Reuters.com,https://www.reuters.com/world/asia-pacific/north-korea-denounces-us-aggression-it-marks-war-anniversary-2022-06-25/,2022-06-25T12:18:00Z,"North Korea on Saturday condemned ""aggression moves"" by Washington and Seoul, vowing to take revenge as it marked the 72nd anniversary of the outbreak of the Korean War at a time of rising tension on the Korean Peninsula.","SEOUL, June 25 (Reuters) - North Korea on Saturday condemned ""aggression moves"" by Washington and Seoul, vowing to take revenge as it marked the 72nd anniversary of the outbreak of the Korean War at … [+1774 chars]"
Canada accuses China of 'very concerning' behaviour in aerial spat - Reuters,https://www.reuters.com/world/canada-accuses-china-very-concerning-behaviour-aerial-spat-2022-06-11/,2022-06-11T05:11:00Z,"Canada believes China showed ""very concerning and unprofessional"" behaviour while harassing its patrol aircraft near North Korea, Defence Minister Anita Anand said on Saturday, but she declined comment when asked whether she had raised the issue with her Chin…","SINGAPORE, June 11 (Reuters) - Canada believes China showed ""very concerning and unprofessional"" behaviour while harassing its patrol aircraft near North Korea, Defence Minister Anita Anand said on S… [+2434 chars]"
S.Korean leader's informal media events are a break with tradition - Reuters.com,https://www.reuters.com/business/media-telecom/skorean-leaders-informal-media-events-are-break-with-tradition-2022-06-24/,2022-06-24T09:06:00Z,South Korean leader Yoon Suk-yeol has departed from years of tradition by holding informal daily media events to field questions on topics ranging from inflation and ties with neighbouring North Korea to the first lady and even boyband BTS.,"SEOUL, June 24 (Reuters) - South Korean leader Yoon Suk-yeol has departed from years of tradition by holding informal daily media events to field questions on topics ranging from inflation and ties w… [+3597 chars]"
U.S. will again urge U.N. sanctions if N.Korea carries out nuclear test - Reuters,https://www.reuters.com/world/asia-pacific/us-will-again-urge-un-sanctions-if-nkorea-carries-out-nuclear-test-2022-05-31/,2022-05-31T18:50:00Z,"The United States will again push for more U.N. sanctions on North Korea if it carries out a seventh nuclear test, despite opposition by China and Russia, U.S. Ambassador to the United Nations Linda Thomas-Greenfield said on Tuesday.","U.S. Ambassador to the United Nations Linda Thomas-Greenfield addresses the United Nations Security Council during a meeting, amid Russia's invasion of Ukraine, at the United Nations Headquarters in … [+1615 chars]"
Analysis: Security Council split spells end of an era for U.S.-led sanctions on N.Korea - Reuters,https://www.reuters.com/world/security-council-split-spells-end-an-era-us-led-sanctions-nkorea-2022-05-27/,2022-05-27T04:00:00Z,"A decision by China and Russia to veto new United Nations sanctions on North Korea pushed by the United States shattered any veneer of global cooperation, straining efforts to pressure Pyongyang as it prepares to conduct a new nuclear test.","May 27 (Reuters) - A decision by China and Russia to veto new United Nations sanctions on North Korea pushed by the United States shattered any veneer of global cooperation, straining efforts to pres… [+4597 chars]"
